,symbol,date,average_iv,std_iv,coeff_of_var,bench_mark_iv,avg_full_move,avg_short_move,avg_long_move,highest_iv,lowest_iv,avg_normal_iv,higest_normal_iv,lowest_normal_iv,stddev_normal_iv,highest_normal_fut_close,lowest_normal_fut_close,avg_normal_fut_close,full_move,long_move,fut_close
69,DMART,2025-02-27,27.907965240893063,1.5966150288773204,17.479457938283904,27.78153225806452,1.125,11.5,1.875,38.42250000000001,23.404,27.706498027784665,31.1,24.721,1.275385282033712,3973.8,3427.6,3631.146260074359,53.85815574702887,37.70070902292021,3685.304838709678
70,DRREDDY,2025-02-27,21.116445604354634,2.802800221748592,7.534053066108526,20.963016129032255,0.75,11.25,2.125,39.069,14.0375,20.894085584033505,26.721,15.511,2.324708680551775,7085.1,1160.4,3061.809089579113,13.15760257088285,9.210321799617994,1192.3903225806453
71,EICHERMOT,2025-02-27,23.532066924695627,3.4480090192061414,6.824827543552533,22.04174193548387,1.75,18.375,2.75,35.3675,17.06,22.947175215275177,30.427,17.06,2.682765858432991,5512.95,4532.85,4927.641526247937,54.7563273344652,38.32942913412563,4719.898387096773
72,ESCORTS,2025-02-27,28.53423316680337,3.2187241959525017,8.865075548468784,30.235983870967747,1.625,16.875,3.25,42.403,17.215,28.03682305683605,34.969,22.1,2.283772445026983,4448.8,2895.45,3603.3658789106457,47.824573962224115,33.47720177355688,3006.2516129032265
73,EXIDEIND,2025-02-27,30.602522295130868,3.1711632581515183,9.65025128128193,31.6046935483871,1.25,15.75,2.0,47.721,19.6625,30.25783298652656,36.939,24.3185,2.505279880983504,535.2,338.2,440.6816486608148,5.9807724028013585,4.186540681960951,360.63225806451607
74,FEDERALBNK,2025-02-27,26.398828836615056,2.955412463514165,8.932367025760337,28.793145161290322,1.25,13.125,2.125,41.92700000000001,15.895500000000002,26.261923917882115,32.3095,20.495,2.629966689125929,217.15,177.13,196.19696758946657,2.7405012478777593,1.9183508735144315,180.8587096774194
75,FINNIFTY,2025-02-27,15.588981746567633,2.321116660332038,6.716156069612466,17.226145161290322,1.125,9.875,1.625,27.585,8.895999999999999,15.371319097090149,20.231,10.954,1.9025778335730628,25295.0,22465.0,23853.176092730137,211.5098634040747,148.05690438285228,23328.924193548384
76,GAIL,2025-02-27,29.054706745706266,2.810255644997724,10.33881269749386,30.401177419354845,1.0,17.25,2.25,42.602,18.011,28.922528725314184,34.6725,23.4365,2.5741117290753355,246.89,156.25,201.12138937654737,2.619141437775892,1.8333990064431243,163.99161290322576
77,GLENMARK,2025-02-27,30.226039118671242,4.304868411032384,7.0213619169424275,35.12722580645161,1.5,19.0,2.75,51.2075,21.622,29.821902392881373,38.835,21.622,3.8929933483940244,1834.95,1297.1,1599.6240209318028,25.509761140916805,17.85683279864176,1384.0935483870971
78,GMRAIRPORT,2025-02-27,31.642513385023943,3.112928470031744,10.16487005392105,34.26911290322581,1.875,16.0,3.75,49.088,23.959,31.116713269182064,37.868,25.4175,2.0822503173899687,86.05,68.41,81.52125950934055,1.2804022763157894,0.8962815934210525,70.77451612903226
79,GNFC,2025-02-27,28.583021356815394,7.027412737563202,4.067360552772475,30.705306451612906,2.625,22.625,4.625,47.606,8.547,29.377047593907562,42.63,14.671,5.650841130795183,709.85,517.2,609.1970301598019,8.784141748302208,6.148899223811545,545.6596774193547
80,GODREJCP,2025-02-27,24.66394186833008,2.817833526361622,8.752803044463768,25.44004838709678,1.125,10.625,1.75,41.169500000000006,15.731,24.135233509594414,30.298,19.03,2.1062679639697124,1536.65,1006.6,1238.5795566058969,13.585655313667235,9.509958719567065,1016.091935483871
81,GODREJPROP,2025-02-27,33.78214503565829,3.5916602465690843,9.405718446762473,40.0081129032258,1.375,14.875,2.625,50.7345,25.703,33.180362345629405,40.9475,26.61,2.607520149507872,3414.9,1905.85,2745.9123317578214,41.61054310950763,29.12738017665534,1976.0451612903223
82,GRANULES,2025-02-27,32.71297365346855,6.769513299010859,4.832396689175346,34.73953225806452,2.125,18.0,3.0,60.685,11.881,32.818688868848234,46.198,19.266,6.1192889251424525,696.45,501.9,579.2068726064688,9.435439800933786,6.60480786065365,518.391935483871
83,GRASIM,2025-02-27,22.05477384889022,2.4371297546799027,9.049486924748058,23.44974193548387,1.75,14.125,2.25,33.182,16.396,21.828400195899174,26.929,17.182,2.1691697510171775,2847.95,2285.65,2603.189785055143,30.26868005093379,21.18807603565365,2464.988709677419
84,GUJGASLTD,2025-02-27,28.083796836189382,3.1863230479329103,8.813857356493848,29.326080645161294,1.5,16.125,3.25,47.887,19.697,27.76894418879832,34.453,21.7115,2.766579319854638,681.2,385.3,529.5325950934055,6.0627813039049245,4.243946912733447,393.0193548387098
85,HAL,2025-02-27,32.60186290302378,6.157447337920735,5.294704300960026,38.565838709677415,1.875,15.75,2.75,54.87599999999999,23.844500000000004,31.400684636300007,44.916,23.844500000000004,4.4236652949231,4969.1,3303.8,4264.293583164528,67.69116605942276,47.38381624159592,3350.5209677419357
86,HAVELLS,2025-02-27,24.725443296257332,2.7490274212116006,8.99425124153905,25.785822580645164,1.5,17.0,2.5,37.061,16.662,24.477013566499373,30.2185,19.233,2.4297264868188635,2116.6,1480.25,1743.2867679495835,20.51805045713073,14.36263531999151,1512.9258064516127
