,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
212,SJVN,1.750299023123939,0.6251067939728354,90.23,91.34,3,17,1.5,2025-01-29 11:14:40.171691,2025-01-29 14:08:03.177663
213,TITAN,36.88401185,13.172861375,3337.6080645161287,3357.65,0,10,0.0,2025-01-29 09:11:48.318825,2025-01-29 13:09:44.094968
214,BSE,106.69337124312396,38.10477544397284,5284.0,5379.55,4,20,2.0,2025-01-29 09:37:38.126987,2025-01-29 14:44:56.611605
215,TATASTEEL,1.6458291725806449,0.587796133064516,130.9,130.32,2,9,1.0,2025-01-29 09:56:18.247426,2025-01-29 14:35:25.772574
216,SBILIFE,14.772177901443126,5.275777821943974,1459.55,1456.9,2,9,1.0,2025-01-29 15:24:41.900326,2025-01-29 14:09:46.811561
217,SBIN,9.326874547920204,3.331026624257216,752.3387096774195,755.65,0,5,0.0,2025-01-29 09:11:48.318825,2025-01-29 13:02:04.272297
218,NESTLEIND,21.28441377988115,7.601576349957554,2173.25,2175.7,4,17,2.0,2025-01-29 13:57:24.684035,2025-01-29 14:04:41.999334
219,COROMANDEL,24.03863134473684,8.585225480263157,1781.0,1791.25,2,17,1.0,2025-01-29 13:21:43.152720,2025-01-29 14:40:18.524834
220,PETRONET,3.7305531236842113,1.3323404013157898,301.55,301.55,9,39,4.5,2025-01-29 11:45:03.129413,2025-01-29 14:49:58.131787
221,HDFCLIFE,6.4751914155348045,2.312568362691002,626.1,627.1,2,12,1.0,2025-01-29 14:04:46.200565,2025-01-29 14:07:48.680045
222,NAVINFLUOR,49.69288722037352,17.74745972156197,3723.8,3730.0,4,24,2.0,2025-01-29 13:26:17.739968,2025-01-29 15:21:39.285502
223,HEROMOTOCO,47.08313151167233,16.815404111311548,4061.95,4078.9,3,16,1.5,2025-01-29 14:35:01.650654,2025-01-29 15:11:08.382414
