,symbol,long_move_val,full_move,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track,long_move_val_track
111,M&MFIN,3.4517163466044147,4.931023352292021,297.7854838709677,299.4,0,31,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:20:12.975947,1.2327558380730053
112,PIDILITIND,25.97996381099321,37.11423401570459,2880.0,2878.05,3,19,1.5,2025-02-07 10:41:03.952053,2025-02-07 14:54:24.904268,9.278558503926147
113,BEL,3.418878516468591,4.8841121663837015,277.15,278.0,1,20,0.5,2025-02-07 09:49:13.280443,2025-02-07 15:00:14.088623,1.2210280415959254
114,LALPATHLAB,30.473539595246177,43.533627993208825,2815.55,2820.95,2,11,1.0,2025-02-07 11:19:32.357425,2025-02-07 15:18:09.243253,10.883406998302206
115,SYNGENE,8.113448586799661,11.59064083828523,748.0,745.95,2,20,1.0,2025-02-07 13:35:43.366593,2025-02-07 15:07:42.570703,2.8976602095713075
116,ITC,4.02457330008489,5.7493904286927,425.5,425.75,5,20,2.5,2025-02-07 14:12:59.032259,2025-02-07 15:10:31.039680,1.437347607173175
117,KALYANKJIL,11.763525371137522,16.805036244482174,540.4064516129032,534.3,0,21,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:21:45.068487,4.201259061120544
118,BHARATFORG,17.757774983658745,25.368249976655356,1143.8387096774193,1142.4,0,10,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:07:51.293219,6.342062494163839
119,ICICIBANK,8.488719583319185,12.12674226188455,1260.8,1261.05,2,13,1.0,2025-02-07 12:53:36.886982,2025-02-07 15:06:05.758435,3.0316855654711374
120,COLPAL,25.61645472580645,36.594935322580646,2623.3,2618.25,2,14,1.0,2025-02-07 14:08:49.548036,2025-02-07 14:10:51.467841,9.148733830645162
121,CROMPTON,5.05590867835314,7.22272668336163,363.9725806451613,366.0,0,9,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:00:03.009573,1.8056816708404075
122,UBL,29.816436480050942,42.59490925721563,2045.0,2055.0,1,10,0.5,2025-02-07 10:26:00.551380,2025-02-07 15:05:49.026130,10.648727314303908
123,NAUKRI,89.97161249168083,128.53087498811547,7878.1,7891.8,4,23,2.0,2025-02-07 12:14:51.622712,2025-02-07 15:27:24.966806,32.13271874702887
124,APLAPOLLO,16.91445653353141,24.1635093336163,1444.95,1433.05,3,21,1.5,2025-02-07 11:47:34.594997,2025-02-07 14:12:51.285064,6.040877333404075
125,BERGEPAINT,5.383289133870968,7.690413048387097,477.282258064516,480.75,0,12,0.0,2025-02-07 09:10:10.294467,2025-02-07 14:38:55.195569,1.9226032620967743
126,SUNTV,9.757157369057726,13.938796241511035,626.55,628.75,3,26,1.5,2025-02-07 14:02:13.640671,2025-02-07 14:13:16.046466,3.484699060377759
127,CANBK,1.136491138667233,1.6235587695246183,94.2,94.38,3,26,1.5,2025-02-07 12:22:36.012702,2025-02-07 15:10:28.481146,0.4058896923811546
128,HINDPETRO,4.146615120967741,5.923735887096774,344.24677419354833,343.7,0,18,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:10:36.892086,1.4809339717741934
129,SIEMENS,86.62398972173173,123.74855674533106,5478.2,5539.45,4,18,2.0,2025-02-07 12:11:33.292828,2025-02-07 15:17:14.262386,30.937139186332764
130,ADANIGREEN,17.539097666001698,25.05585380857385,990.45,986.0,2,11,1.0,2025-02-07 12:20:22.433162,2025-02-07 14:08:41.308701,6.263963452143463
131,BAJAJFINSV,14.6479159815365,20.92559425933786,1809.2,1805.4,5,31,2.5,2025-02-07 13:53:31.746798,2025-02-07 15:00:03.009573,5.231398564834465
132,CYIENT,19.90939862852292,28.44199804074703,1524.85,1530.0,1,15,0.5,2025-02-07 11:34:19.773788,2025-02-07 14:52:44.961162,7.110499510186758
133,VBL,8.532516675551781,12.189309536502543,552.75,555.8,2,14,1.0,2025-02-07 12:11:42.196241,2025-02-07 14:35:48.110263,3.047327384125636
134,DALBHARAT,20.448021574533104,29.21145939219015,1851.1,1860.3,3,19,1.5,2025-02-07 14:29:53.338099,2025-02-07 15:27:24.966806,7.3028648480475375
135,HINDALCO,7.286482549660441,10.409260785229202,605.3,609.2,1,10,0.5,2025-02-07 10:44:35.211896,2025-02-07 15:15:18.795406,2.6023151963073006
136,CANFINHOME,7.822659696264857,11.175228137521223,669.9,672.05,6,31,3.0,2025-02-07 14:08:43.285763,2025-02-07 15:08:23.606769,2.793807034380306
137,CHOLAFIN,15.850241717317486,22.643202453310696,1369.6,1382.55,3,38,1.5,2025-02-07 14:09:03.177582,2025-02-07 15:08:09.460017,5.660800613327674
138,COFORGE,92.36962579966044,131.9566082852292,8534.0,8552.8,2,23,1.0,2025-02-07 12:57:29.846367,2025-02-07 15:10:45.105459,32.9891520713073
139,INDIGO,44.69058731052632,63.84369615789474,4355.1,4351.0,5,16,2.5,2025-02-07 14:13:16.046466,2025-02-07 15:25:32.328917,15.960924039473685
140,DIXON,230.30055802449056,329.0007971778437,14925.1,15098.6,3,24,1.5,2025-02-07 12:22:36.012702,2025-02-07 14:53:28.411323,82.25019929446093
141,IRB,0.7239769924448217,1.0342528463497451,53.32,53.37,1,19,0.5,2025-02-07 09:21:36.233211,2025-02-07 14:54:21.820467,0.2585632115874363
142,NYKAA,2.746005331833616,3.9228647597623088,173.37,172.31,2,13,1.0,2025-02-07 15:01:13.457456,2025-02-07 15:02:11.709864,0.9807161899405772
143,LTF,1.8871476343548383,2.6959251919354834,148.1,147.72,1,29,0.5,2025-02-07 14:08:49.548036,2025-02-07 14:47:55.535105,0.6739812979838709
144,DIVISLAB,57.724385907809854,82.46340843972837,6147.446774193548,6166.4,0,13,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:00:16.524536,20.615852109932092
145,ACC,20.789713504796264,29.69959072113752,2002.3,2002.9,4,21,2.0,2025-02-07 12:19:30.142778,2025-02-07 15:00:10.761529,7.42489768028438
146,IEX,2.377128980305603,3.3958985432937183,183.36,182.43,4,21,2.0,2025-02-07 12:12:08.893555,2025-02-07 14:13:09.813004,0.8489746358234296
147,ABB,86.92232176532258,124.17474537903226,5695.162903225807,5689.85,0,14,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:21:26.534367,31.043686344758065
148,KEI,55.62617819779288,79.46596885398984,3907.2,3925.2,2,9,1.0,2025-02-07 12:22:59.194787,2025-02-07 15:10:25.736656,19.86649221349746
149,ULTRACEMCO,99.98713741786923,142.83876773981322,11630.0,11653.45,3,26,1.5,2025-02-07 14:26:02.933618,2025-02-07 14:55:32.390842,35.709691934953305
150,TIINDIA,42.01820154558575,60.02600220797964,2936.15,2918.7,3,16,1.5,2025-02-07 12:21:30.740771,2025-02-07 15:00:22.245604,15.00650055199491
151,TORNTPHARM,30.87516198361629,44.107374262308994,3274.05,3263.5,3,15,1.5,2025-02-07 12:32:19.804201,2025-02-07 14:52:39.852298,11.026843565577249
