,symbol,pct_change,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
21,AUBANK,-2.0672061928219567,580.0,9.45,0.3256915591367046,620.0,2.8499999999999996,0.12129756936382453,-3.75
11,AMBUJACEM,-3.466110153343617,550.0,8.3,0.33647531380734985,580.0,2.275,0.12318843258345284,-3.750000000000001
129,LICHSGFIN,-2.9536553524804177,610.0,10.7,0.3755774999665815,640.0,3.4000000000000004,0.15856647468999352,-3.8999999999999986
73,EXIDEIND,-3.5902851108764517,430.0,6.35,0.30532008067988764,470.0,1.225,0.07574633267501461,-3.8999999999999995
200,TATACONSUM,0.786230344241394,970.0,14.274999999999999,0.3693462699828194,1010.0,5.15,0.16699829952960055,-3.974999999999998
102,IGL,-3.794848206071757,440.0,7.425,0.3104388689767105,480.0,1.725,0.09223957465158396,-3.9749999999999996
182,RECLTD,-4.851851851851851,540.0,9.600000000000001,0.31779910870913064,580.0,2.775,0.11734659003834755,-4.050000000000002
82,GUJGASLTD,-1.1545551566896284,520.0,9.649999999999999,0.39738355184510443,550.0,2.775,0.15097986168044536,-4.099999999999999
170,PFC,-4.214805305947797,470.0,8.100000000000001,0.316439950490202,510.0,1.975,0.09939500218319378,-4.150000000000001
140,MARICO,-2.2629877452823095,670.0,8.899999999999999,0.3317943843924328,710.0,2.325,0.1093721476533947,-4.249999999999998
43,BSOFT,-1.0650780756385956,570.0,10.524999999999999,0.343348550943741,610.0,3.125,0.12974388650070529,-4.274999999999999
98,ICICIPRULI,-1.9043401240035431,690.0,10.899999999999999,0.33033666954213153,730.0,3.2,0.12615310757263482,-4.499999999999998
88,HDFCLIFE,-2.817238627294493,630.0,8.05,0.3165466428593386,670.0,1.725,0.09021296716138065,-4.6000000000000005
187,SBIN,-2.180861064109795,800.0,11.375,0.35705847917298594,840.0,3.325,0.13437759311371703,-4.725
195,SUNTV,-2.33879781420765,690.0,10.975,0.3541651241282088,730.0,3.075,0.12920785472286436,-4.824999999999999
183,RELIANCE,-2.488354500935621,1250.0,14.825,0.3553847280260623,1300.0,4.975,0.1462209773751242,-4.875
105,INDIANB,-3.204702759078411,530.0,12.0,0.36872347528355953,570.0,3.55,0.1432439172688694,-4.9
120,JSWENERGY,-4.756663259690227,630.0,14.725,0.3682410786717441,680.0,4.9,0.1522877134500123,-4.924999999999999
