,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
184,SJVN,3.9321192052980134,15.824000432347113,100.0,2.825,-0.4618577155626471,100.44,95.0,1.125,-0.23096631907577903,-0.5750000000000002,-0.0057248108323377156
131,M&M,-1.7753064915924166,87.04151372323487,2850.0,34.8,-0.30456957717129063,2932.4,2700.0,9.0,-0.09720359861270766,-16.799999999999997,-0.00572909562133406
179,SBILIFE,1.5903916586927112,99.27143324634568,1500.0,17.475,-0.3098241520987397,1539.45,1420.0,4.3,-0.09315169451686867,-8.875000000000002,-0.005765045957972004
142,MPHASIS,-0.4528488793759176,99.7797476161436,2750.0,58.525,-0.36981279573105885,2813.75,2600.0,21.1,-0.16268601322348775,-16.324999999999996,-0.005801865837405596
134,MARICO,1.4046873807160851,63.76634445422981,650.0,6.925,-0.3205028469172766,664.15,620.0,1.525,-0.09159451160131615,-3.875,-0.0058345253331325755
211,VEDL,0.420540061974325,73.7086205176775,440.0,6.0,-0.3070496895870285,453.7,410.0,1.6749999999999998,-0.09536844937419742,-2.6500000000000004,-0.00584086400705312
59,DALBHARAT,-0.5846774193548387,99.9999999781529,1680.0,35.650000000000006,-0.35574176101176724,1725.85,1580.0,12.75,-0.15196338414501132,-10.150000000000006,-0.0058811600081119485
49,COALINDIA,2.0155447240152813,87.76412781179988,380.0,5.25,-0.3553898831247648,387.2,360.0,1.475,-0.11898043599181041,-2.3,-0.0059400826446280985
209,UPL,0.9675063891931364,57.98205772667494,540.0,6.25,-0.3172576905397432,553.1,510.0,1.475,-0.09031846412128375,-3.3,-0.005966371361417464
150,NHPC,1.8181818181818181,6.483954058724398,78.0,1.275,-0.365704487707905,79.52,74.0,0.4,-0.13935560390449808,-0.47499999999999987,-0.005973340040241447
147,NAVINFLUOR,-0.5692875961500272,93.30842170827086,3650.0,52.9,-0.3201395250084962,3755.15,3450.0,15.225000000000001,-0.1125176760746387,-22.449999999999996,-0.00597845625341198
199,TECHM,-1.6663706860829932,99.99994425429017,1620.0,31.225,-0.35497904986022477,1661.15,1540.0,10.6,-0.153521852980966,-10.025000000000002,-0.006034975769798032
188,SUNTV,-0.29940119760479045,81.42529517423164,640.0,11.325,-0.3935750572929867,649.35,610.0,3.7,-0.16084760188658886,-3.924999999999999,-0.006044506044506043
194,TATAELXSI,0.6136809507596025,0.7198095679621415,6100.0,80.375,-0.3596602483679877,6205.55,5800.0,21.075000000000003,-0.11657902667306685,-38.224999999999994,-0.0061598085584678225
190,SYNGENE,0.44607393828292086,99.932103867255,800.0,13.325,-0.33675758853592774,821.9,760.0,4.125,-0.13279671168302354,-5.074999999999999,-0.0061747171188709085
164,PFC,-0.27526092441793787,51.59165536896474,420.0,6.15,-0.3012531375322821,434.75,390.0,1.725,-0.09520760838767783,-2.7,-0.006210465784933871
146,NAUKRI,1.3423082463561242,68.96981623612135,7600.0,127.175,-0.3728896152109571,7738.6,7200.0,39.55,-0.14053140287650423,-48.075,-0.006212363993487194
167,PNB,-0.18873547233535312,95.60213193450171,98.0,1.875,-0.3547584918180806,100.48,92.0,0.625,-0.13909786069087904,-0.625,-0.00622014331210191
19,AUBANK,-0.7537688442211055,99.99686976217816,580.0,11.899999999999999,-0.3732948762502204,592.5,550.0,4.1,-0.1614239013045803,-3.6999999999999993,-0.006244725738396623
36,BOSCHLTD,0.02908529142508392,73.618010983089,31000.0,432.8,-0.37537637547231406,31468.35,29500.0,118.1,-0.1266337728677862,-196.60000000000002,-0.0062475471386329445
73,GNFC,1.8245867581970918,61.105797894848656,550.0,6.975,-0.3230984842774588,563.65,520.0,1.725,-0.09849277853100813,-3.5249999999999995,-0.006253880954493036
122,LALPATHLAB,-0.12428094595554294,65.85801146226314,2750.0,36.65,-0.33550546007680315,2812.7,2600.0,9.45,-0.10569504708911892,-17.75,-0.006310662352899349
68,ESCORTS,1.3087531663383056,54.81499881421906,3550.0,56.825,-0.39077738273057827,3599.5,3400.0,16.925,-0.15331182644119168,-22.975,-0.006382830948742881
195,TATAMOTORS,0.5724208901466427,99.33351077141472,760.0,11.575,-0.3246028835311596,781.85,710.0,3.275,-0.10594947529332355,-5.0249999999999995,-0.006427064014836605
139,MFSL,2.2200319158922373,39.508645947486386,1060.0,14.075,-0.3177449460524806,1088.95,1000.0,3.525,-0.09836527607438039,-7.0249999999999995,-0.006451168556866706
54,CROMPTON,0.19315673289183224,37.389772541570295,355.0,4.675,-0.3344255641810252,363.1,335.0,1.15,-0.1005598922310168,-2.375,-0.006540897824290829
173,PVRINOX,1.4804224507678827,91.26658967686112,1080.0,20.525,-0.3795031694919555,1100.2,1020.0,6.65,-0.14935491043247162,-7.224999999999998,-0.00656698782039629
112,JIOFIN,0.6839452843772498,51.7109677274885,275.0,5.6,-0.39064844484717054,279.7,260.0,1.875,-0.1605176136913189,-1.8499999999999996,-0.006614229531641043
92,ICICIGI,2.028826570578098,99.99999999995364,1900.0,37.675,-0.34748829576183227,1953.75,1800.0,12.325,-0.14606012918440203,-13.024999999999999,-0.006666666666666666
76,GRANULES,-0.06891798759476223,87.82871431722985,560.0,9.475000000000001,-0.31226693081239487,580.0,520.0,2.8,-0.10643123969413382,-3.8750000000000018,-0.006681034482758624
169,POLYCAB,1.502343206942171,99.99985661726821,6600.0,137.02499999999998,-0.3493639716205629,6790.05,6200.0,45.8,-0.14265705362944114,-45.42499999999998,-0.006689936009307735
27,BANKINDIA,0.37962037962037964,99.70532117240965,98.0,1.975,-0.35858143685657196,100.48,92.0,0.6499999999999999,-0.14194025501803076,-0.6750000000000003,-0.006717754777070066
66,DRREDDY,0.46497329285631933,99.9989557127133,1280.0,20.450000000000003,-0.3565279732513673,1307.2,1220.0,5.825,-0.13388804008870314,-8.800000000000002,-0.0067319461444308466
35,BIOCON,-0.12711325791280031,94.69394586934969,385.0,7.2,-0.3715040251011681,392.85,365.0,2.275,-0.14844994692581914,-2.6500000000000004,-0.006745577192312588
2,ABCAPITAL,-0.4426018264328534,67.09518294831875,175.0,3.05,-0.3886462500273342,177.7,165.0,0.925,-0.13970469489776893,-1.1999999999999997,-0.0067529544175576805
138,METROPOLIS,0.06089166578417876,45.30639818703369,1880.0,38.425,-0.4526918975295571,1889.75,1800.0,12.825,-0.19866023647138553,-12.774999999999999,-0.0067601534594523074
