,symbol,pct_change,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
214,UPL,-1.8133984778727803,510.0,9.45,-0.3566016077935905,480.0,2.875,-0.13360820575929377,-3.6999999999999993
108,INDUSTOWER,-4.348454203987287,320.0,6.75,-0.33424141301098653,290.0,1.525,-0.09170118065326505,-3.7
82,GUJGASLTD,-1.1545551566896284,500.0,10.100000000000001,-0.38303314770669616,470.0,3.0999999999999996,-0.1448090629743637,-3.900000000000002
0,AARTIIND,-3.853907269062019,390.0,6.85,-0.3054196796364348,360.0,1.45,-0.08440282095251317,-3.9499999999999997
175,POONAWALLA,-0.23965489694839429,300.0,6.475,-0.3198769441444642,270.0,1.225,-0.07815872569237436,-4.0249999999999995
73,EXIDEIND,-3.5902851108764517,400.0,8.75,-0.3584629010704967,370.0,2.325,-0.11946405302734164,-4.1
220,ZOMATO,-3.389830508474576,255.0,6.8,-0.33932354881435267,230.0,1.35,-0.09299183130947741,-4.1
185,SBIN,-2.1745942219715486,760.0,11.45,-0.3300728717081083,720.0,3.5999999999999996,-0.1246660600929379,-4.25
50,CHAMBLFERT,-4.1082264000795785,470.0,11.024999999999999,-0.3683937786156426,440.0,3.3499999999999996,-0.14465979823621722,-4.324999999999999
102,IGL,-3.794848206071757,410.0,11.149999999999999,-0.39479088436768484,380.0,3.325,-0.1505260118586429,-4.499999999999998
