,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
110,IPCALAB,0.6461707861261626,39.93237449890218,1700.0,33.5,-0.37042116281854853,1620.0,11.425,-0.16323482513398158,-10.649999999999999
52,CIPLA,0.3846411131179343,98.4170354767494,1460.0,23.0,-0.3305488111739432,1380.0,6.175000000000001,-0.1142498968731549,-10.649999999999999
143,MFSL,2.0510003204688,19.32980427253444,1080.0,19.325,-0.32780519586781687,1000.0,4.3,-0.09372659997911681,-10.725
130,LODHA,-0.388457269700333,2.733985226993918,1300.0,35.125,-0.3495809513253638,1200.0,12.15,-0.14504691649431456,-10.825
35,BHARATFORG,0.8709077233680376,34.08754585266418,1240.0,21.5,-0.3401280007232024,1160.0,5.275,-0.1071341084370303,-10.95
197,TATACOMM,-0.1945181255526083,84.9867692049245,1640.0,29.6,-0.32717750310334304,1540.0,9.275,-0.1244980764482293,-11.05
210,UBL,0.08461259518916958,53.17230732266787,2020.0,33.725,-0.3462735000025795,1920.0,11.25,-0.14178327001686408,-11.225000000000001
7,ADANIENT,1.752552455985208,55.84141804944657,2460.0,54.75,-0.35378774595829576,2280.0,21.75,-0.14926435008638883,-11.25
18,ASTRAL,1.6737606810253782,41.548544066550804,1560.0,29.325000000000003,-0.38062494018184645,1480.0,9.0,-0.14994902270972754,-11.325000000000003
177,PVRINOX,-2.7698299157526627,88.07802395560414,1180.0,22.85,-0.32090749014260334,1080.0,5.625,-0.09516026343568829,-11.600000000000001
85,HCLTECH,-1.6902495497813224,93.82712410043379,1860.0,31.575,-0.3387937033512862,1760.0,9.925,-0.1316062567555285,-11.724999999999998
96,ICICIGI,3.482231268566399,96.65787217630928,1840.0,39.7,-0.3737499450303914,1740.0,13.925,-0.16279813212546024,-11.850000000000001
153,NESTLEIND,1.252121267715452,47.82256957305794,2160.0,23.625,-0.32164854624248873,2060.0,5.8,-0.09896057216587761,-12.025
93,HINDUNILVR,0.44661578461796525,88.70085829913272,2340.0,28.025,-0.32294151271303495,2240.0,7.95,-0.11566041458978171,-12.124999999999998
164,PAYTM,1.4992041895569133,0.24087407256577295,960.0,29.35,-0.37300837689588007,880.0,8.600000000000001,-0.14149215930639947,-12.149999999999999
57,COROMANDEL,0.4953417344660319,29.116079113866622,1920.0,36.55,-0.375552052938507,1820.0,12.025,-0.15362978247342862,-12.499999999999996
125,KPITTECH,2.353388395479836,99.99999999999993,1440.0,39.900000000000006,-0.370429847889695,1340.0,13.7,-0.15880378385773974,-12.500000000000007
108,INFY,-0.5056338389671723,94.2016835079796,1900.0,37.125,-0.3756183687414528,1800.0,12.274999999999999,-0.1549122851154907,-12.575000000000003
63,DALBHARAT,2.5341629023551806,98.09205186291294,1760.0,41.325,-0.3691681674623577,1640.0,14.350000000000001,-0.1509178284498598,-12.625
217,VOLTAS,0.40417649040080833,28.138687242321392,1740.0,27.225,-0.3296741477276639,1640.0,7.3,-0.11137603240407457,-12.625000000000002
131,LT,1.145359841943105,75.32153082926804,3600.0,58.425,-0.3774924819355995,3450.0,22.75,-0.17282370668482194,-12.924999999999997
204,TECHM,-0.8081944403327511,95.72407765341715,1640.0,34.8,-0.37562403354703733,1540.0,10.725000000000001,-0.14496438709082438,-13.349999999999994
